koi_pdisposition,koi_fpflag_nt,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr,koi_slogg,koi_srad
1.0000000001,1e-10,1.5099794381679268e-05,-7.380574642287736,-3.58618669210113,-5.442122090794635,7.996179824671248e-05,0.0003789815411109739,-0.4205820533617741,-0.29163948820541324,0.008020052406580967
1.0000000001,1e-10,2.5236780980581217e-05,-7.7143390860744185,-3.7845151980766567,-5.127162533016759,7.242483417976267e-05,0.00011552087628149384,-1.6485371485757574,-0.25457075192494355,0.005839886261384515
1.0000000001,1e-10,2.667310471864644e-05,-4.6090829594011105,-3.983692192876062,-9.37224008581336,5.390776286295223e-06,4.571441891152348e-05,-5.1870876447136665,-0.19843717703930897,0.003973037406515694
1e-10,1e-10,8.676926007046588e-05,-3.290867368309607,-3.6532166022864554,-4.450963891061661,0.00075085142754388,6.931328307969472e-06,-2.6779383859252706,-0.1652774906957181,0.0032158539548905784
1e-10,1e-10,0.00014740589348684525,-3.2587103103372095,-2.43234401406529,-5.152296160000594,3.543880521545934e-05,1.6159859879807587e-06,-3.741797529799642,-0.1571015529863398,0.0024847802774594324
1e-10,1e-10,0.0001460016235954762,-3.0498956547384175,-3.373390919834569,-3.032550785938077,0.00024562526671165544,5.112657306234204e-06,-1.3630107140785797,-0.17822988257878666,0.003646665229091075
1e-10,1e-10,0.00012483511838409257,-3.1089214810020467,-2.6915857689852807,-4.99107310414167,3.923224408359302e-05,2.7048136294013713e-06,-3.395987169002908,-0.1735208257777754,0.002946052954886227
1.0000000001,1e-10,6.947740226112888e-05,-3.2439283067048836,-3.7566001994789784,-7.087122733882513,1.192946696689406e-05,3.822871543074887e-06,-4.642834897602986,-0.15886366797953266,0.002554406341976684
1.0000000001,1e-10,4.452055738848912e-05,-3.2758140354264467,-4.505450577477887,-6.691930436341894,1.38261864009609e-05,4.570983823547607e-06,-4.9305169665934905,-0.14463556323330815,0.0024499672452008062
1e-10,1e-10,1.888173373144075e-05,-3.292896260375117,-3.6607703534834037,-8.262000547509457,7.4871503976322555e-06,2.789126040531627e-05,-5.235680199059511,-0.17643334043848735,0.003089656712953059
1.0000000001,1e-10,3.929153576973868e-05,-3.271829172914547,-3.840270764209161,-7.525571671983235,1.2328776321434447e-05,1.543642408755616e-05,-5.006744330884732,-0.19089686940752537,0.0034856549548949304
1.0000000001,1e-10,2.845653599743909e-05,-4.463953634595247,-3.996103076850102,-8.352972288821507,8.086114429442837e-06,2.3123985690069478e-05,-5.747197612452222,-0.19089686940752537,0.0034856549548949304
1.0000000001,1e-10,6.0519143455948334e-05,-4.700788026548273,-3.6655276426239185,-8.866461968623533,6.089567656740901e-06,8.863266614684738e-06,-6.464864377299899,-0.19089686940752537,0.0034856549548949304
1e-10,1e-10,0.0029721114546481984,-3.3844897610289393,-3.0206931743696104,-4.1244948138092825,0.00020674251831328535,1.6817406545418857e-07,-2.2093020313342406,-0.2761507948583766,0.0064012464065548585
1.0000000001,1e-10,0.00016489152591850448,-3.2771267556627186,-3.7059793612995717,-7.494530208908611,1.4325323094136383e-05,1.7027633587315625e-06,-5.575893858331314,-0.17733120806323352,0.0031288213742440133
1.0000000001,1e-10,3.657779537262837e-05,-3.2730945218177796,-4.179509103504497,-7.407975865228979,1.3476790715738059e-05,1.5250081101943903e-05,-5.771717228848818,-0.16572134334387592,0.0032115023258582503
1.0000000001,1e-10,3.107132880495802e-05,-3.2700828295608826,-3.8929835250973728,-7.627062142312685,1.1080934588495738e-05,2.264168619789659e-05,-4.987135859786487,-0.1630611777320235,0.003141876261340998
1e-10,1e-10,9.727445872687758e-06,-3.2877251694591503,-4.54995284266183,-6.54668485305836,2.2211682846309022e-05,9.628827058509197e-05,-3.911989869012548,-0.16328258811704907,0.003141876261340998
1e-10,1.0000000001,0.005157128615406311,-2.726030206310092,-0.9537222774075248,-4.445031787784511,7.0178719060473e-05,3.2070610276611954e-08,-2.6453611851156564,-0.18499580825327722,0.003803323874254893
